"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BarwarRitu: Nothing is scarier than an Angry Mother Nature..Beware Humans!!!
     #KeralaElephantMurder https://t.co/qFlFjT6ReV",FALSE,0,NA,2020-06-04 12:27:09,FALSE,NA,"1268519661274087425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sahilgangwar09",744,TRUE,FALSE,NA,NA
"RT @AyshaRenna: If ""someone else is driving a car &amp; we're sitting behind, even then if a puppy comes under the wheel, will it be painful or…",FALSE,0,NA,2020-06-04 12:27:07,FALSE,NA,"1268519649500594177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Riyaspanayathi1",60,TRUE,FALSE,NA,NA
"Love All Care All Respect All
#KeralaElephantMurder https://t.co/gNtWxFcHHj",FALSE,0,NA,2020-06-04 12:26:56,FALSE,NA,"1268519603879186434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MSultanMazahiri",0,FALSE,FALSE,NA,NA
"RT @Deepaksingh8788: #JusticeForVinayaki
She died a horrific, painful death....
Humanity also died....
#KeralaElephantMurder
@ZeeNewsEnglis…",FALSE,0,NA,2020-06-04 12:26:53,FALSE,NA,"1268519593989079041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Umeshku76180450",5,TRUE,FALSE,NA,NA
"RT @iArmySupporter: It’s intolerable. Finally! Humanity is dead. how can anyone be so cruel. <U+0001F62D>

Kerala Literacy Rate: 93.91%
Humanity : 0%…",FALSE,0,NA,2020-06-04 12:26:52,FALSE,NA,"1268519590407086080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sahilgangwar09",635,TRUE,FALSE,NA,NA
"RT @ianshpandit: No mother should ever feel this pain and no child should ever lose his life this way <U+0001F494>
#humanityisdead #ElephantDeath #Ker…",FALSE,0,NA,2020-06-04 12:26:49,FALSE,NA,"1268519575949389824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","niteshpradhanji",1,TRUE,FALSE,NA,NA
"RT @srp_shine: We deserve corona..!!!
We deserve cyclones..!!!
We deserve earthquake.!!
We deserve to die..!!

So other animals can live an…",FALSE,0,NA,2020-06-04 12:26:45,FALSE,NA,"1268519558714757121",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Radheyyadav3",1,TRUE,FALSE,NA,NA
"RT @sarthi_of_parth: She was pregnant 
She was hungry 
She was fed pineapple stuffed with explosives 
She died a horrific, painful death...…",FALSE,0,NA,2020-06-04 12:26:40,FALSE,NA,"1268519536212377600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YT8lJckivGhxroS",15,TRUE,FALSE,NA,NA
"RT @ItsSarvadamanD: She was pregnant She was hungry She died a horrific, painful death....
Humanity also died.
#keralaelephant #humanityisd…",FALSE,0,NA,2020-06-04 12:26:38,FALSE,NA,"1268519529887543296",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShivshaktiPan11",44,TRUE,FALSE,NA,NA
"BJP/RSS's cyber dogs are barking here

Human lynchers are showing a fake concern here 

Comparing North India with… https://t.co/TLK5kOhhGj",FALSE,0,NA,2020-06-04 12:26:35,TRUE,NA,"1268519518575476736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AKIMF9",0,FALSE,FALSE,NA,NA
"RT @abhishek3454: #RIPHumanity
Rip<U+0001F622>Humanity
#RIPHumanity #KeralaElephantMurder https://t.co/k8zLqPCkqT",FALSE,0,NA,2020-06-04 12:26:34,FALSE,NA,"1268519512611184640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Diwakar06931074",1,TRUE,FALSE,NA,NA
"No mother should ever feel this pain and no child should ever lose his life this way <U+0001F494>
#humanityisdead… https://t.co/3vfzfje2TZ",FALSE,1,NA,2020-06-04 12:26:33,TRUE,NA,"1268519509561765888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ianshpandit",1,FALSE,FALSE,NA,NA
